2026-02-24 01:25:20,536 | INFO | Order=(1, 0, 0) progress 3125/4014 | fails=0 | elapsed=142.0s
2026-02-24 01:25:21,670 | INFO | Order=(1, 0, 0) progress 3150/4014 | fails=0 | elapsed=143.1s
2026-02-24 01:25:22,799 | INFO | Order=(1, 0, 0) progress 3175/4014 | fails=0 | elapsed=144.3s
2026-02-24 01:25:23,964 | INFO | Order=(1, 0, 0) progress 3200/4014 | fails=0 | elapsed=145.4s
2026-02-24 01:25:25,085 | INFO | Order=(1, 0, 0) progress 3225/4014 | fails=0 | elapsed=146.5s
2026-02-24 01:25:26,202 | INFO | Order=(1, 0, 0) progress 3250/4014 | fails=0 | elapsed=147.7s
2026-02-24 01:25:27,328 | INFO | Order=(1, 0, 0) progress 3275/4014 | fails=0 | elapsed=148.8s
2026-02-24 01:25:28,411 | INFO | Order=(1, 0, 0) progress 3300/4014 | fails=0 | elapsed=149.9s
2026-02-24 01:25:29,516 | INFO | Order=(1, 0, 0) progress 3325/4014 | fails=0 | elapsed=151.0s
2026-02-24 01:25:30,627 | INFO | Order=(1, 0, 0) progress 3350/4014 | fails=0 | elapsed=152.1s
2026-02-24 01:25:31,756 | INFO | Order=(1, 0, 0) progress 3375/4014 | fails=0 | elapsed=153.2s
2026-02-24 01:25:32,883 | INFO | Order=(1, 0, 0) progress 3400/4014 | fails=0 | elapsed=154.3s
2026-02-24 01:25:34,009 | INFO | Order=(1, 0, 0) progress 3425/4014 | fails=0 | elapsed=155.5s
2026-02-24 01:25:35,109 | INFO | Order=(1, 0, 0) progress 3450/4014 | fails=0 | elapsed=156.6s
2026-02-24 01:25:36,231 | INFO | Order=(1, 0, 0) progress 3475/4014 | fails=0 | elapsed=157.7s
2026-02-24 01:25:37,368 | INFO | Order=(1, 0, 0) progress 3500/4014 | fails=0 | elapsed=158.8s
2026-02-24 01:25:38,481 | INFO | Order=(1, 0, 0) progress 3525/4014 | fails=0 | elapsed=159.9s
2026-02-24 01:25:39,627 | INFO | Order=(1, 0, 0) progress 3550/4014 | fails=0 | elapsed=161.1s
2026-02-24 01:25:40,799 | INFO | Order=(1, 0, 0) progress 3575/4014 | fails=0 | elapsed=162.3s
2026-02-24 01:25:41,910 | INFO | Order=(1, 0, 0) progress 3600/4014 | fails=0 | elapsed=163.4s
2026-02-24 01:25:43,037 | INFO | Order=(1, 0, 0) progress 3625/4014 | fails=0 | elapsed=164.5s
2026-02-24 01:25:44,176 | INFO | Order=(1, 0, 0) progress 3650/4014 | fails=0 | elapsed=165.6s
2026-02-24 01:25:45,312 | INFO | Order=(1, 0, 0) progress 3675/4014 | fails=0 | elapsed=166.8s
2026-02-24 01:25:46,477 | INFO | Order=(1, 0, 0) progress 3700/4014 | fails=0 | elapsed=167.9s
2026-02-24 01:25:47,579 | INFO | Order=(1, 0, 0) progress 3725/4014 | fails=0 | elapsed=169.0s
2026-02-24 01:25:48,702 | INFO | Order=(1, 0, 0) progress 3750/4014 | fails=0 | elapsed=170.2s
2026-02-24 01:25:49,845 | INFO | Order=(1, 0, 0) progress 3775/4014 | fails=0 | elapsed=171.3s
2026-02-24 01:25:50,997 | INFO | Order=(1, 0, 0) progress 3800/4014 | fails=0 | elapsed=172.5s
